iter	MultiClass
0	1.06672693
1	1.040940739
2	1.015875836
3	0.9922602246
4	0.9707368134
5	0.9532456781
6	0.9397386481
7	0.9269412267
8	0.9159163006
9	0.9061832479
10	0.896205308
11	0.8883429271
12	0.8802140212
13	0.8724691642
14	0.8643957316
15	0.8573943265
16	0.8519992216
17	0.8459341186
18	0.840233684
19	0.8343488909
20	0.8282153402
21	0.8237219764
22	0.8188740705
23	0.8134135145
24	0.8074983845
25	0.8023142391
26	0.7984685578
27	0.7930409421
28	0.7893622376
29	0.7870238466
30	0.7830262806
31	0.779451193
32	0.7773644743
33	0.7727937057
34	0.7702004158
35	0.7671455983
36	0.7642446758
37	0.7618017955
38	0.7584247485
39	0.7555613987
40	0.7533573705
41	0.7510445864
42	0.7485110083
43	0.7439374787
44	0.7404732385
45	0.7388700461
46	0.7368679779
47	0.7346883696
48	0.7329452911
49	0.7310292233
50	0.7281288642
51	0.7251761785
52	0.7233582951
53	0.7211964043
54	0.7186068621
55	0.7167756593
56	0.7148472327
57	0.7119969492
58	0.708832938
59	0.705799871
60	0.7033282948
61	0.7012334965
62	0.6986019278
63	0.6969655102
64	0.6933189893
65	0.6912379774
66	0.6899232744
67	0.6878535874
68	0.6849884261
69	0.6835313459
70	0.681207574
71	0.6778563636
72	0.6751873628
73	0.6735222106
74	0.671927156
75	0.6691306716
76	0.6674585743
77	0.6646314838
78	0.6626050343
79	0.6608899523
80	0.6586180168
81	0.6555507293
82	0.6534280983
83	0.6511718128
84	0.6498162152
85	0.6483704451
86	0.646673475
87	0.6441484125
88	0.6422627667
89	0.6395363112
90	0.6370914816
91	0.634046819
92	0.6328884766
93	0.6302341556
94	0.6284142628
95	0.6266020306
96	0.6240407807
97	0.6218460182
98	0.6195083783
99	0.6173722719
100	0.6144691986
101	0.6122915504
102	0.6100774185
103	0.6073805083
104	0.6059090652
105	0.6034338667
106	0.6014336787
107	0.5993090212
108	0.5986224255
109	0.5962198938
110	0.5938376167
111	0.592023283
112	0.5902969878
113	0.5883051029
114	0.5857363506
115	0.5837948048
116	0.5817460679
117	0.5801027124
118	0.578392432
119	0.5761807695
120	0.5744013673
121	0.5727857132
122	0.5702182092
123	0.5690377782
124	0.5666586592
125	0.563651292
126	0.5620336786
127	0.5604978881
128	0.5590974876
129	0.5567923788
130	0.554824083
131	0.5530365162
132	0.5518899399
133	0.5496095773
134	0.5481812035
135	0.5462762103
136	0.5442086113
137	0.5430631058
138	0.5422005157
139	0.5410579324
140	0.5399763631
141	0.5382933825
142	0.5371509168
143	0.5358902133
144	0.534850762
145	0.533197504
146	0.5317927132
147	0.529928129
148	0.5285300015
149	0.526718315
150	0.5245656958
151	0.5230305874
152	0.5210410902
153	0.5202333797
154	0.5190371141
155	0.5168344193
156	0.5154102691
157	0.513835882
158	0.5119653109
159	0.5104474455
160	0.5086474995
161	0.5073437713
162	0.5059787329
163	0.5044641169
164	0.5033164978
165	0.502440494
166	0.5016706936
167	0.5004888769
168	0.4997654323
169	0.4979161372
170	0.4960884053
171	0.4954277117
172	0.4945618189
173	0.4927191181
174	0.491159123
175	0.4895743335
176	0.4883012021
177	0.486423876
178	0.4848387577
179	0.483506817
180	0.4828909023
181	0.4821872597
182	0.4813757596
183	0.4805581207
184	0.4789258651
185	0.4776149904
186	0.4763728795
187	0.4754295704
188	0.4740457177
189	0.4726667148
190	0.4717519635
191	0.4707911905
192	0.4688936954
193	0.4672875374
194	0.4662731125
195	0.4644621205
196	0.463102019
197	0.4619307385
198	0.461211403
199	0.4599546131
200	0.4585327473
201	0.4572090357
202	0.4561895527
203	0.4549052488
204	0.4537810167
205	0.4532281003
206	0.4522614002
207	0.4512698745
208	0.4501226089
209	0.4489461669
210	0.4478751983
211	0.4470051961
212	0.4463038414
213	0.4455614431
214	0.4441281331
215	0.4426242129
216	0.4416997264
217	0.4403279095
218	0.439645464
219	0.4388952672
220	0.4378551698
221	0.4365498064
222	0.4353437511
223	0.4346140356
224	0.4334317123
225	0.4324373915
226	0.4310296288
227	0.4297721626
228	0.4283157403
229	0.4275450079
230	0.4264682383
231	0.4256423036
232	0.4240766495
233	0.4231083718
234	0.4221859648
235	0.4212543579
236	0.4205610407
237	0.4198380628
238	0.4189047845
239	0.4180505675
240	0.4173163475
241	0.4160945573
242	0.4151842825
243	0.4141366471
244	0.412991511
245	0.4119434201
246	0.4111263192
247	0.409841366
248	0.4086378904
249	0.4072393553
250	0.4065792515
251	0.4057735696
252	0.4051084423
253	0.4035736323
254	0.4025661726
255	0.401566389
256	0.400089331
257	0.3989831803
258	0.3983770487
259	0.3977213967
260	0.3966064103
261	0.3958873124
262	0.3954445239
263	0.3942026702
264	0.3926655671
265	0.3908719156
266	0.3904376858
267	0.3894469935
268	0.3884822296
269	0.3870672766
270	0.3859395339
271	0.3850412915
272	0.3845078604
273	0.3834366542
274	0.3827270464
275	0.3816018848
276	0.3800918033
277	0.3792513235
278	0.3784758846
279	0.3774638099
280	0.3764065047
281	0.3757635506
282	0.3750976203
283	0.3738475451
284	0.3731617698
285	0.3727538795
286	0.3715925375
287	0.3705896651
288	0.3698980578
289	0.3692838666
290	0.3685760795
291	0.3677114761
292	0.3669652705
293	0.3662389053
294	0.3651818478
295	0.3639569197
296	0.3634697044
297	0.3623634778
298	0.3617582526
299	0.3609459455
300	0.3598936555
301	0.3592686132
302	0.3584188137
303	0.3577803209
304	0.3566802887
305	0.3559741719
306	0.3553104431
307	0.3545311363
308	0.3536745565
309	0.3527423913
310	0.3520084191
311	0.3511880509
312	0.3502151425
313	0.3488964147
314	0.3483295175
315	0.3474847253
316	0.3470194556
317	0.3460513142
318	0.3452011999
319	0.3444583988
320	0.3436644647
321	0.3431105562
322	0.3419038407
323	0.3409602986
324	0.3401506349
325	0.3396005887
326	0.3388953787
327	0.3382943687
328	0.3374152672
329	0.3369999083
330	0.3361625309
331	0.3354146216
332	0.3343017343
333	0.3334793404
334	0.3327012093
335	0.331991591
336	0.3314726203
337	0.3311462315
338	0.3307482202
339	0.3298060939
340	0.3292169672
341	0.3284026857
342	0.3276209161
343	0.3269053057
344	0.3264099005
345	0.3258127919
346	0.3250978963
347	0.3246986498
348	0.3240246465
349	0.3232310412
350	0.3225288261
351	0.3220285352
352	0.3213339556
353	0.3206835469
354	0.3195876671
355	0.3189494822
356	0.3180975578
357	0.3175290206
358	0.3168877907
359	0.3165151417
360	0.3158995783
361	0.3152308388
362	0.3145276331
363	0.3138366269
364	0.3128100389
365	0.3123988883
366	0.3119310101
367	0.3112646532
368	0.3106178381
369	0.3097844656
370	0.3088818771
371	0.3082221246
372	0.3076100875
373	0.3070488202
374	0.3061403061
375	0.3055266118
376	0.304656939
377	0.3040869953
378	0.3032125759
379	0.3026342867
380	0.3016539704
381	0.301192488
382	0.3007603449
383	0.3001028901
384	0.299763126
385	0.2992180314
386	0.2984715716
387	0.2979412237
388	0.2970896381
389	0.2963170372
390	0.2957562505
391	0.2954595563
392	0.2947395758
393	0.2941005966
394	0.2931320432
395	0.2924550692
396	0.2918362897
397	0.2913748751
398	0.2909642099
399	0.290596819
400	0.2900898623
401	0.2895821775
402	0.28899299
403	0.288320082
404	0.2876479673
405	0.2869800681
406	0.2862093012
407	0.2857214348
408	0.2852886535
409	0.2847265775
410	0.2842476756
411	0.2839867267
412	0.2830711397
413	0.2825484417
414	0.2820541725
415	0.2814770303
416	0.2806521748
417	0.2800754333
418	0.2795273485
419	0.2788557157
420	0.2782160099
421	0.2778326487
422	0.277410294
423	0.2769189191
424	0.2764540082
425	0.2757762285
426	0.2752665641
427	0.274659919
428	0.274024643
429	0.2734758852
430	0.2729198208
431	0.2725943903
432	0.2720864803
433	0.2713531409
434	0.270833825
435	0.2704885354
436	0.2700979295
437	0.2694652203
438	0.2688747804
439	0.2681982769
440	0.2675299079
441	0.2670573003
442	0.2667278191
443	0.2664765534
444	0.2659562628
445	0.2655180382
446	0.2647714756
447	0.2641731597
448	0.2637751605
449	0.2633239619
450	0.2628296893
451	0.2622907789
452	0.2616349377
453	0.261265577
454	0.2606947338
455	0.2602581607
456	0.2598027607
457	0.2593010312
458	0.2587761434
459	0.2583990513
460	0.2580238149
461	0.257584314
462	0.257108112
463	0.2568155853
464	0.2563739531
465	0.2561665138
466	0.2556911672
467	0.2550969665
468	0.2547232525
469	0.2544450237
470	0.2541409997
471	0.2537562841
472	0.2533142892
473	0.2527735872
474	0.2524083145
475	0.2521105398
476	0.2515331932
477	0.2509680773
478	0.2504637411
479	0.2500678902
480	0.2495817129
481	0.2491277956
482	0.2487853173
483	0.2483606134
484	0.2477509036
485	0.247202222
486	0.2468693718
487	0.246511193
488	0.2459611915
489	0.245255565
490	0.2449341866
491	0.2442244171
492	0.2436755106
493	0.2432212774
494	0.2427996372
495	0.2423804666
496	0.2419301069
497	0.2414650637
498	0.24106933
499	0.2405650263
500	0.2402721035
501	0.2400096961
502	0.2394221632
503	0.2390732379
504	0.2384047794
505	0.2380376965
506	0.2377483007
507	0.2373896601
508	0.2369050399
509	0.2363507296
510	0.2360272844
511	0.2356526676
512	0.2352773576
513	0.2347932387
514	0.2343604324
515	0.2341570958
516	0.2337741724
517	0.2334318267
518	0.233252351
519	0.2328163658
520	0.232461419
521	0.2320210482
522	0.2316739471
523	0.2311201828
524	0.230907735
525	0.2304102153
526	0.2300877967
527	0.2295179365
528	0.229316991
529	0.2289596651
530	0.2285032758
531	0.2281986021
532	0.2278813667
533	0.22746384
534	0.2270845648
535	0.2263205669
536	0.2259242615
537	0.225526143
538	0.2251558001
539	0.2248406457
540	0.2243392172
541	0.2239596127
542	0.2234178966
543	0.2231211087
544	0.2228529351
545	0.2224555008
546	0.2220773938
547	0.2216704035
548	0.2212156958
549	0.2210196791
550	0.220754743
551	0.2202730832
552	0.2198824557
553	0.2197179243
554	0.2195729644
555	0.2191749513
556	0.2190083273
557	0.2185961284
558	0.2183089349
559	0.217842071
560	0.217397549
561	0.2170593291
562	0.2166829069
563	0.2164668963
564	0.2161509626
565	0.2157961846
566	0.2152463249
567	0.2149434551
568	0.2145370366
569	0.2142475076
570	0.213912475
571	0.2134744009
572	0.2129270248
573	0.2126019737
574	0.212059273
575	0.2118907597
576	0.2116174326
577	0.2113031464
578	0.2107841107
579	0.210302157
580	0.2100274705
581	0.209648366
582	0.2092478603
583	0.2089875333
584	0.2084415591
585	0.2081865663
586	0.20784749
587	0.2075848747
588	0.2073386133
589	0.2070686856
590	0.2065815564
591	0.2060765974
592	0.2056918051
593	0.2052287127
594	0.2049278484
595	0.2046134071
596	0.2042260627
597	0.2040227032
598	0.2036457078
599	0.2033566336
600	0.203021868
601	0.2026655603
602	0.2023609831
603	0.2020788551
604	0.2018998226
605	0.2014959434
606	0.2010958985
607	0.2007436251
608	0.200485113
609	0.2002608619
610	0.1999324233
611	0.199588951
612	0.1992991685
613	0.1990041356
614	0.1986181127
615	0.1983490139
616	0.1980184188
617	0.1975731717
618	0.1974288506
619	0.1972785686
620	0.196828658
621	0.1964990008
622	0.196250774
623	0.1960525683
624	0.1957479007
625	0.1952767671
626	0.1950856735
627	0.1947321066
628	0.1943994243
629	0.1939755848
630	0.1935226517
631	0.1930444232
