iter	Passed	Remaining
0	3	3709
1	6	3136
2	8	2927
3	11	2966
4	14	2830
5	16	2745
6	18	2665
7	21	2620
8	21	2391
9	24	2380
10	27	2479
11	29	2465
12	30	2339
13	33	2333
14	35	2325
15	37	2317
16	39	2310
17	42	2343
18	45	2339
19	47	2330
20	49	2325
21	52	2321
22	54	2315
23	56	2316
24	60	2354
25	62	2354
26	65	2351
27	67	2342
28	69	2336
29	72	2329
30	75	2353
31	77	2346
32	79	2339
33	82	2333
34	84	2326
35	86	2320
36	89	2316
37	91	2326
38	94	2320
39	96	2315
40	98	2309
41	101	2304
42	103	2298
43	106	2303
44	108	2302
45	110	2299
46	113	2294
47	115	2290
48	117	2286
49	120	2281
50	122	2288
51	125	2284
52	127	2280
53	129	2275
54	132	2271
55	134	2267
56	136	2263
57	139	2267
58	141	2263
59	144	2260
60	146	2255
61	148	2251
62	151	2247
63	153	2247
64	156	2244
65	158	2241
66	160	2238
67	163	2234
68	165	2231
69	167	2226
70	170	2226
71	172	2227
72	175	2223
73	177	2218
74	179	2214
75	181	2210
76	184	2206
77	186	2207
78	189	2203
79	191	2200
80	193	2197
81	195	2194
82	198	2190
83	200	2187
84	203	2188
85	205	2185
86	207	2181
87	210	2178
88	212	2176
89	214	2172
90	217	2170
91	219	2168
92	221	2164
93	224	2161
94	226	2158
95	228	2155
96	231	2151
97	233	2150
98	236	2150
99	238	2148
100	241	2145
101	243	2142
102	245	2139
103	247	2135
104	250	2137
105	253	2134
106	255	2131
107	257	2128
108	259	2125
109	262	2122
110	264	2118
111	267	2119
112	269	2117
113	272	2114
114	274	2111
115	276	2108
116	278	2105
117	281	2102
118	283	2100
119	286	2097
120	288	2094
121	290	2092
122	293	2089
123	295	2086
124	297	2084
125	300	2081
126	302	2079
127	304	2076
128	307	2073
129	309	2071
130	311	2068
131	314	2066
132	316	2065
133	319	2062
134	321	2059
135	323	2057
136	326	2053
137	328	2051
138	331	2051
139	333	2048
140	335	2046
141	338	2043
142	340	2040
143	342	2037
144	345	2034
145	347	2032
146	349	2029
147	351	2026
148	354	2023
149	356	2021
150	358	2018
151	363	2027
152	365	2024
153	367	2021
154	370	2018
155	372	2016
156	374	2013
157	377	2010
158	380	2010
159	382	2007
160	384	2004
161	387	2002
162	389	1999
163	391	1996
164	394	1994
165	397	1994
166	399	1992
167	401	1989
168	403	1986
169	406	1983
170	408	1981
171	411	1979
172	413	1977
173	415	1974
174	418	1971
175	420	1968
176	422	1965
177	425	1963
178	427	1961
179	430	1959
180	432	1956
181	434	1953
182	436	1950
183	439	1947
184	441	1945
185	444	1944
186	446	1941
187	448	1938
188	451	1936
189	453	1933
190	455	1930
191	458	1927
192	461	1927
193	463	1925
194	465	1922
195	468	1920
196	470	1917
197	472	1914
198	475	1913
199	477	1910
200	479	1907
201	482	1906
202	484	1903
203	487	1900
204	489	1898
205	492	1896
206	494	1894
207	496	1891
208	499	1888
209	501	1885
210	503	1883
211	506	1880
212	508	1880
213	511	1877
214	513	1875
215	515	1872
216	518	1870
217	520	1867
218	523	1867
219	526	1865
220	528	1863
221	531	1860
222	533	1858
223	535	1855
224	538	1853
225	540	1851
226	542	1849
227	545	1846
228	547	1843
229	550	1841
230	552	1839
231	555	1837
232	557	1835
233	559	1832
234	562	1829
235	564	1826
236	566	1824
237	569	1822
238	571	1820
239	574	1818
240	576	1815
241	578	1813
242	581	1810
243	583	1807
244	585	1805
245	589	1805
246	591	1802
247	593	1800
248	596	1797
249	598	1794
250	600	1792
251	602	1789
252	605	1787
253	607	1784
254	609	1782
255	612	1779
256	614	1776
257	616	1774
258	619	1772
259	621	1769
260	624	1766
261	626	1764
262	628	1761
263	630	1759
264	633	1756
265	635	1754
266	638	1752
267	640	1749
268	642	1747
269	645	1744
270	647	1741
271	649	1739
272	652	1738
273	655	1736
274	657	1733
275	659	1730
276	662	1728
277	664	1725
278	667	1724
279	669	1721
280	671	1719
281	674	1716
282	676	1713
283	678	1711
284	681	1708
285	683	1706
286	685	1703
287	688	1701
288	690	1698
289	692	1696
290	695	1693
291	697	1691
292	699	1688
293	702	1686
294	704	1684
295	707	1681
296	709	1679
297	711	1676
298	714	1673
299	716	1672
300	719	1670
301	721	1667
302	723	1664
303	725	1662
304	728	1659
305	730	1656
306	733	1654
307	735	1652
308	737	1649
309	740	1647
310	742	1644
311	744	1642
312	747	1640
313	749	1637
314	751	1635
315	754	1632
316	756	1630
317	758	1627
318	761	1624
319	763	1622
320	766	1620
321	768	1618
322	770	1615
323	773	1613
324	775	1610
325	777	1608
326	780	1606
327	783	1604
328	785	1601
329	787	1599
330	789	1596
331	792	1593
332	794	1591
333	797	1589
334	799	1587
335	801	1584
336	804	1582
337	806	1579
338	808	1577
339	811	1574
340	813	1572
341	815	1569
342	818	1567
343	820	1564
344	822	1562
345	825	1559
346	827	1557
347	830	1555
348	832	1552
349	834	1550
350	837	1547
351	839	1545
352	841	1542
353	844	1540
354	846	1538
355	849	1536
356	851	1533
357	853	1531
358	856	1528
359	858	1525
360	860	1523
361	863	1521
362	865	1519
363	867	1516
364	870	1513
365	872	1511
366	874	1508
